Date:  16:48, Monday, November 14, 2016
Model name:Devin
Study name:Static 1(-Default-)
Mesh type: Solid Mesh


Node  ,Value  ,X (in)  ,Y (in)  ,Z (in)
734  ,0.000e+000  ,-1.9419  ,7.1875  ,0.47863
735  ,0.000e+000  ,-1.9935  ,7.1875  ,0.16093
736  ,0.000e+000  ,-1.9935  ,7.1875  ,-0.16093
737  ,0.000e+000  ,-1.9419  ,7.1875  ,-0.47863
738  ,0.000e+000  ,-1.84  ,7.1875  ,-0.78393
739  ,0.000e+000  ,-1.6904  ,7.1875  ,-1.0689
740  ,0.000e+000  ,-1.497  ,7.1875  ,-1.3262
741  ,0.000e+000  ,-1.2649  ,7.1875  ,-1.5492
742  ,0.000e+000  ,-1.2649  ,6.875  ,1.5492
743  ,0.000e+000  ,-1.497  ,6.875  ,1.3262
744  ,0.000e+000  ,-1.6904  ,6.875  ,1.0689
745  ,0.000e+000  ,-1.84  ,6.875  ,0.78393
746  ,0.000e+000  ,-1.9419  ,6.875  ,0.47863
747  ,0.000e+000  ,-1.9935  ,6.875  ,0.16093
748  ,0.000e+000  ,-1.9935  ,6.875  ,-0.16093
749  ,0.000e+000  ,-1.9419  ,6.875  ,-0.47863
750  ,0.000e+000  ,-1.84  ,6.875  ,-0.78393
751  ,0.000e+000  ,-1.6904  ,6.875  ,-1.0689
752  ,0.000e+000  ,-1.497  ,6.875  ,-1.3262
753  ,0.000e+000  ,-1.2649  ,6.875  ,-1.5492
754  ,0.000e+000  ,-1.2649  ,6.5625  ,1.5492
755  ,0.000e+000  ,-1.497  ,6.5625  ,1.3262
756  ,0.000e+000  ,-1.6904  ,6.5625  ,1.0689
757  ,0.000e+000  ,-1.84  ,6.5625  ,0.78393
758  ,0.000e+000  ,-1.9419  ,6.5625  ,0.47863
759  ,0.000e+000  ,-1.9935  ,6.5625  ,0.16093
760  ,0.000e+000  ,-1.9935  ,6.5625  ,-0.16093
761  ,0.000e+000  ,-1.9419  ,6.5625  ,-0.47863
762  ,0.000e+000  ,-1.84  ,6.5625  ,-0.78393
763  ,0.000e+000  ,-1.6904  ,6.5625  ,-1.0689
764  ,0.000e+000  ,-1.497  ,6.5625  ,-1.3262
765  ,0.000e+000  ,-1.2649  ,6.5625  ,-1.5492
766  ,0.000e+000  ,-1.2649  ,6.25  ,1.5492
767  ,0.000e+000  ,-1.497  ,6.25  ,1.3262
768  ,0.000e+000  ,-1.6904  ,6.25  ,1.0689
769  ,0.000e+000  ,-1.84  ,6.25  ,0.78393
770  ,0.000e+000  ,-1.9419  ,6.25  ,0.47863
771  ,0.000e+000  ,-1.9935  ,6.25  ,0.16093
772  ,0.000e+000  ,-1.9935  ,6.25  ,-0.16093
773  ,0.000e+000  ,-1.9419  ,6.25  ,-0.47863
774  ,0.000e+000  ,-1.84  ,6.25  ,-0.78393
775  ,0.000e+000  ,-1.6904  ,6.25  ,-1.0689
776  ,0.000e+000  ,-1.497  ,6.25  ,-1.3262
777  ,0.000e+000  ,-1.2649  ,6.25  ,-1.5492
778  ,0.000e+000  ,-1.2649  ,5.9375  ,1.5492
779  ,0.000e+000  ,-1.497  ,5.9375  ,1.3262
780  ,0.000e+000  ,-1.6904  ,5.9375  ,1.0689
781  ,0.000e+000  ,-1.84  ,5.9375  ,0.78393
782  ,0.000e+000  ,-1.9419  ,5.9375  ,0.47863
783  ,0.000e+000  ,-1.9935  ,5.9375  ,0.16093
784  ,0.000e+000  ,-1.9935  ,5.9375  ,-0.16093
785  ,0.000e+000  ,-1.9419  ,5.9375  ,-0.47863
786  ,0.000e+000  ,-1.84  ,5.9375  ,-0.78393
787  ,0.000e+000  ,-1.6904  ,5.9375  ,-1.0689
788  ,0.000e+000  ,-1.497  ,5.9375  ,-1.3262
789  ,0.000e+000  ,-1.2649  ,5.9375  ,-1.5492
790  ,0.000e+000  ,-1.2649  ,5.625  ,1.5492
791  ,0.000e+000  ,-1.497  ,5.625  ,1.3262
792  ,0.000e+000  ,-1.6904  ,5.625  ,1.0689
793  ,0.000e+000  ,-1.84  ,5.625  ,0.78393
794  ,0.000e+000  ,-1.9419  ,5.625  ,0.47863
795  ,0.000e+000  ,-1.9935  ,5.625  ,0.16093
796  ,0.000e+000  ,-1.9935  ,5.625  ,-0.16093
797  ,0.000e+000  ,-1.9419  ,5.625  ,-0.47863
798  ,0.000e+000  ,-1.84  ,5.625  ,-0.78393
799  ,0.000e+000  ,-1.6904  ,5.625  ,-1.0689
800  ,0.000e+000  ,-1.497  ,5.625  ,-1.3262
801  ,0.000e+000  ,-1.2649  ,5.625  ,-1.5492
802  ,0.000e+000  ,-1.2649  ,5.3125  ,1.5492
803  ,0.000e+000  ,-1.497  ,5.3125  ,1.3262
804  ,0.000e+000  ,-1.6904  ,5.3125  ,1.0689
805  ,0.000e+000  ,-1.84  ,5.3125  ,0.78393
806  ,0.000e+000  ,-1.9419  ,5.3125  ,0.47863
807  ,0.000e+000  ,-1.9935  ,5.3125  ,0.16093
808  ,0.000e+000  ,-1.9935  ,5.3125  ,-0.16093
809  ,0.000e+000  ,-1.9419  ,5.3125  ,-0.47863
810  ,0.000e+000  ,-1.84  ,5.3125  ,-0.78393
811  ,0.000e+000  ,-1.6904  ,5.3125  ,-1.0689
812  ,0.000e+000  ,-1.497  ,5.3125  ,-1.3262
813  ,0.000e+000  ,-1.2649  ,5.3125  ,-1.5492
814  ,0.000e+000  ,-1.2649  ,7.8125  ,1.5492
815  ,0.000e+000  ,-1.497  ,7.8125  ,1.3262
816  ,0.000e+000  ,-1.6904  ,7.8125  ,1.0689
817  ,0.000e+000  ,-1.84  ,7.8125  ,0.78393
818  ,0.000e+000  ,-1.9419  ,7.8125  ,0.47863
819  ,0.000e+000  ,-1.9935  ,7.8125  ,0.16093
820  ,0.000e+000  ,-1.9935  ,7.8125  ,-0.16093
821  ,0.000e+000  ,-1.9419  ,7.8125  ,-0.47863
822  ,0.000e+000  ,-1.84  ,7.8125  ,-0.78393
823  ,0.000e+000  ,-1.6904  ,7.8125  ,-1.0689
824  ,0.000e+000  ,-1.497  ,7.8125  ,-1.3262
825  ,0.000e+000  ,-1.2649  ,7.8125  ,-1.5492
826  ,0.000e+000  ,-1.2649  ,8.125  ,1.5492
827  ,0.000e+000  ,-1.497  ,8.125  ,1.3262
828  ,0.000e+000  ,-1.6904  ,8.125  ,1.0689
829  ,0.000e+000  ,-1.84  ,8.125  ,0.78393
830  ,0.000e+000  ,-1.9419  ,8.125  ,0.47863
831  ,0.000e+000  ,-1.9935  ,8.125  ,0.16093
832  ,0.000e+000  ,-1.9935  ,8.125  ,-0.16093
833  ,0.000e+000  ,-1.9419  ,8.125  ,-0.47863
834  ,0.000e+000  ,-1.84  ,8.125  ,-0.78393
835  ,0.000e+000  ,-1.6904  ,8.125  ,-1.0689
836  ,0.000e+000  ,-1.497  ,8.125  ,-1.3262
837  ,0.000e+000  ,-1.2649  ,8.125  ,-1.5492
838  ,0.000e+000  ,-1.2649  ,8.4375  ,1.5492
839  ,0.000e+000  ,-1.497  ,8.4375  ,1.3262
840  ,0.000e+000  ,-1.6904  ,8.4375  ,1.0689
841  ,0.000e+000  ,-1.84  ,8.4375  ,0.78393
842  ,0.000e+000  ,-1.9419  ,8.4375  ,0.47863
843  ,0.000e+000  ,-1.9935  ,8.4375  ,0.16093
844  ,0.000e+000  ,-1.9935  ,8.4375  ,-0.16093
845  ,0.000e+000  ,-1.9419  ,8.4375  ,-0.47863
846  ,0.000e+000  ,-1.84  ,8.4375  ,-0.78393
847  ,0.000e+000  ,-1.6904  ,8.4375  ,-1.0689
848  ,0.000e+000  ,-1.497  ,8.4375  ,-1.3262
849  ,0.000e+000  ,-1.2649  ,8.4375  ,-1.5492
850  ,0.000e+000  ,-1.2649  ,8.75  ,1.5492
851  ,0.000e+000  ,-1.497  ,8.75  ,1.3262
852  ,0.000e+000  ,-1.6904  ,8.75  ,1.0689
853  ,0.000e+000  ,-1.84  ,8.75  ,0.78393
854  ,0.000e+000  ,-1.9419  ,8.75  ,0.47863
855  ,0.000e+000  ,-1.9935  ,8.75  ,0.16093
856  ,0.000e+000  ,-1.9935  ,8.75  ,-0.16093
857  ,0.000e+000  ,-1.9419  ,8.75  ,-0.47863
858  ,0.000e+000  ,-1.84  ,8.75  ,-0.78393
859  ,0.000e+000  ,-1.6904  ,8.75  ,-1.0689
860  ,0.000e+000  ,-1.497  ,8.75  ,-1.3262
861  ,0.000e+000  ,-1.2649  ,8.75  ,-1.5492
862  ,0.000e+000  ,-1.2649  ,9.0625  ,1.5492
863  ,0.000e+000  ,-1.497  ,9.0625  ,1.3262
864  ,0.000e+000  ,-1.6904  ,9.0625  ,1.0689
865  ,0.000e+000  ,-1.84  ,9.0625  ,0.78393
866  ,0.000e+000  ,-1.9419  ,9.0625  ,0.47863
867  ,0.000e+000  ,-1.9935  ,9.0625  ,0.16093
868  ,0.000e+000  ,-1.9935  ,9.0625  ,-0.16093
869  ,0.000e+000  ,-1.9419  ,9.0625  ,-0.47863
870  ,0.000e+000  ,-1.84  ,9.0625  ,-0.78393
871  ,0.000e+000  ,-1.6904  ,9.0625  ,-1.0689
872  ,0.000e+000  ,-1.497  ,9.0625  ,-1.3262
873  ,0.000e+000  ,-1.2649  ,9.0625  ,-1.5492
874  ,0.000e+000  ,-1.2649  ,9.375  ,1.5492
875  ,0.000e+000  ,-1.497  ,9.375  ,1.3262
876  ,0.000e+000  ,-1.6904  ,9.375  ,1.0689
877  ,0.000e+000  ,-1.84  ,9.375  ,0.78393
878  ,0.000e+000  ,-1.9419  ,9.375  ,0.47863
879  ,0.000e+000  ,-1.9935  ,9.375  ,0.16093
880  ,0.000e+000  ,-1.9935  ,9.375  ,-0.16093
881  ,0.000e+000  ,-1.9419  ,9.375  ,-0.47863
882  ,0.000e+000  ,-1.84  ,9.375  ,-0.78393
883  ,0.000e+000  ,-1.6904  ,9.375  ,-1.0689
884  ,0.000e+000  ,-1.497  ,9.375  ,-1.3262
885  ,0.000e+000  ,-1.2649  ,9.375  ,-1.5492
886  ,0.000e+000  ,-1.2649  ,9.6875  ,1.5492
887  ,0.000e+000  ,-1.497  ,9.6875  ,1.3262
888  ,0.000e+000  ,-1.6904  ,9.6875  ,1.0689
889  ,0.000e+000  ,-1.84  ,9.6875  ,0.78393
890  ,0.000e+000  ,-1.9419  ,9.6875  ,0.47863
891  ,0.000e+000  ,-1.9935  ,9.6875  ,0.16093
892  ,0.000e+000  ,-1.9935  ,9.6875  ,-0.16093
893  ,0.000e+000  ,-1.9419  ,9.6875  ,-0.47863
894  ,0.000e+000  ,-1.84  ,9.6875  ,-0.78393
895  ,0.000e+000  ,-1.6904  ,9.6875  ,-1.0689
896  ,0.000e+000  ,-1.497  ,9.6875  ,-1.3262
897  ,0.000e+000  ,-1.2649  ,9.6875  ,-1.5492
898  ,0.000e+000  ,2  ,10  ,0
899  ,0.000e+000  ,1.9741  ,10  ,0.32082
900  ,0.000e+000  ,1.8971  ,10  ,0.63334
901  ,0.000e+000  ,1.7709  ,10  ,0.92945
902  ,0.000e+000  ,1.5989  ,10  ,1.2015
903  ,0.000e+000  ,1.3854  ,10  ,1.4424
904  ,0.000e+000  ,1.1361  ,10  ,1.646
905  ,0.000e+000  ,0.85739  ,10  ,1.8069
906  ,0.000e+000  ,0.55643  ,10  ,1.921
907  ,0.000e+000  ,0.24107  ,10  ,1.9854
908  ,0.000e+000  ,-0.080532  ,10  ,1.9984
909  ,0.000e+000  ,-0.40005  ,10  ,1.9596
910  ,0.000e+000  ,-0.70921  ,10  ,1.87
911  ,0.000e+000  ,-0.70921  ,5  ,1.87
912  ,0.000e+000  ,-0.40005  ,5  ,1.9596
913  ,0.000e+000  ,-0.080532  ,5  ,1.9984
914  ,0.000e+000  ,0.24107  ,5  ,1.9854
915  ,0.000e+000  ,0.55643  ,5  ,1.921
916  ,0.000e+000  ,0.85739  ,5  ,1.8069
917  ,0.000e+000  ,1.1361  ,5  ,1.646
918  ,0.000e+000  ,1.3854  ,5  ,1.4424
919  ,0.000e+000  ,1.5989  ,5  ,1.2015
920  ,0.000e+000  ,1.7709  ,5  ,0.92945
921  ,0.000e+000  ,1.8971  ,5  ,0.63334
922  ,0.000e+000  ,1.9741  ,5  ,0.32082
923  ,0.000e+000  ,2  ,5  ,0
924  ,0.000e+000  ,2  ,5.3125  ,0
925  ,0.000e+000  ,2  ,5.625  ,0
926  ,0.000e+000  ,2  ,5.9375  ,0
927  ,0.000e+000  ,2  ,6.25  ,0
928  ,0.000e+000  ,2  ,6.5625  ,0
929  ,0.000e+000  ,2  ,6.875  ,0
930  ,0.000e+000  ,2  ,7.1875  ,0
931  ,0.000e+000  ,2  ,7.5  ,0
932  ,0.000e+000  ,2  ,7.8125  ,0
933  ,0.000e+000  ,2  ,8.125  ,0
934  ,0.000e+000  ,2  ,8.4375  ,0
935  ,0.000e+000  ,2  ,8.75  ,0
936  ,0.000e+000  ,2  ,9.0625  ,0
937  ,0.000e+000  ,2  ,9.375  ,0
938  ,0.000e+000  ,2  ,9.6875  ,0
939  ,0.000e+000  ,1.9741  ,7.5  ,0.32082
940  ,0.000e+000  ,1.8971  ,7.5  ,0.63334
941  ,0.000e+000  ,1.7709  ,7.5  ,0.92945
942  ,0.000e+000  ,1.5989  ,7.5  ,1.2015
943  ,0.000e+000  ,1.3854  ,7.5  ,1.4424
944  ,0.000e+000  ,1.1361  ,7.5  ,1.646
945  ,0.000e+000  ,0.85738  ,7.5  ,1.8069
946  ,0.000e+000  ,0.55643  ,7.5  ,1.921
947  ,0.000e+000  ,0.24107  ,7.5  ,1.9854
948  ,0.000e+000  ,-0.080532  ,7.5  ,1.9984
949  ,0.000e+000  ,-0.40005  ,7.5  ,1.9596
950  ,0.000e+000  ,-0.70921  ,7.5  ,1.87
951  ,0.000e+000  ,1.9741  ,7.1875  ,0.32082
952  ,0.000e+000  ,1.8971  ,7.1875  ,0.63334
953  ,0.000e+000  ,1.7709  ,7.1875  ,0.92945
954  ,0.000e+000  ,1.5989  ,7.1875  ,1.2015
955  ,0.000e+000  ,1.3854  ,7.1875  ,1.4424
956  ,0.000e+000  ,1.1361  ,7.1875  ,1.646
957  ,0.000e+000  ,0.85738  ,7.1875  ,1.8069
958  ,0.000e+000  ,0.55643  ,7.1875  ,1.921
959  ,0.000e+000  ,0.24107  ,7.1875  ,1.9854
960  ,0.000e+000  ,-0.080532  ,7.1875  ,1.9984
961  ,0.000e+000  ,-0.40005  ,7.1875  ,1.9596
962  ,0.000e+000  ,-0.70921  ,7.1875  ,1.87
963  ,0.000e+000  ,1.9741  ,6.875  ,0.32082
964  ,0.000e+000  ,1.8971  ,6.875  ,0.63334
965  ,0.000e+000  ,1.7709  ,6.875  ,0.92945
966  ,0.000e+000  ,1.5989  ,6.875  ,1.2015
967  ,0.000e+000  ,1.3854  ,6.875  ,1.4424
968  ,0.000e+000  ,1.1361  ,6.875  ,1.646
969  ,0.000e+000  ,0.85738  ,6.875  ,1.8069
970  ,0.000e+000  ,0.55643  ,6.875  ,1.921
971  ,0.000e+000  ,0.24107  ,6.875  ,1.9854
972  ,0.000e+000  ,-0.080532  ,6.875  ,1.9984
973  ,0.000e+000  ,-0.40005  ,6.875  ,1.9596
974  ,0.000e+000  ,-0.70921  ,6.875  ,1.87
975  ,0.000e+000  ,1.9741  ,6.5625  ,0.32082
976  ,0.000e+000  ,1.8971  ,6.5625  ,0.63334
977  ,0.000e+000  ,1.7709  ,6.5625  ,0.92945
978  ,0.000e+000  ,1.5989  ,6.5625  ,1.2015
979  ,0.000e+000  ,1.3854  ,6.5625  ,1.4424
980  ,0.000e+000  ,1.1361  ,6.5625  ,1.646
981  ,0.000e+000  ,0.85738  ,6.5625  ,1.8069
982  ,0.000e+000  ,0.55643  ,6.5625  ,1.921
983  ,0.000e+000  ,0.24107  ,6.5625  ,1.9854
984  ,0.000e+000  ,-0.080532  ,6.5625  ,1.9984
985  ,0.000e+000  ,-0.40005  ,6.5625  ,1.9596
986  ,0.000e+000  ,-0.70921  ,6.5625  ,1.87
987  ,0.000e+000  ,1.9741  ,6.25  ,0.32082
988  ,0.000e+000  ,1.8971  ,6.25  ,0.63334
989  ,0.000e+000  ,1.7709  ,6.25  ,0.92945
990  ,0.000e+000  ,1.5989  ,6.25  ,1.2015
991  ,0.000e+000  ,1.3854  ,6.25  ,1.4424
992  ,0.000e+000  ,1.1361  ,6.25  ,1.646
993  ,0.000e+000  ,0.85738  ,6.25  ,1.8069
994  ,0.000e+000  ,0.55643  ,6.25  ,1.921
995  ,0.000e+000  ,0.24107  ,6.25  ,1.9854
996  ,0.000e+000  ,-0.080532  ,6.25  ,1.9984
997  ,0.000e+000  ,-0.40005  ,6.25  ,1.9596
998  ,0.000e+000  ,-0.70921  ,6.25  ,1.87
999  ,0.000e+000  ,1.9741  ,5.9375  ,0.32082
1000  ,0.000e+000  ,1.8971  ,5.9375  ,0.63334
1001  ,0.000e+000  ,1.7709  ,5.9375  ,0.92945
1002  ,0.000e+000  ,1.5989  ,5.9375  ,1.2015
1003  ,0.000e+000  ,1.3854  ,5.9375  ,1.4424
1004  ,0.000e+000  ,1.1361  ,5.9375  ,1.646
1005  ,0.000e+000  ,0.85738  ,5.9375  ,1.8069
1006  ,0.000e+000  ,0.55643  ,5.9375  ,1.921
1007  ,0.000e+000  ,0.24107  ,5.9375  ,1.9854
1008  ,0.000e+000  ,-0.080532  ,5.9375  ,1.9984
1009  ,0.000e+000  ,-0.40005  ,5.9375  ,1.9596
1010  ,0.000e+000  ,-0.70921  ,5.9375  ,1.87
